kaspi_sku,kaspi_name,alash_id,note
557500965,Модуль расширения Raspberry Pi Edge TPU Google Coral,1480,
388022854,MeiLuoMan YBJR01 синий,,not-in-catalog stock=0
119608602_443995343,Arduino UNO R4 WIFI,1269,
116186418_949164607,"ANENG индикатор напряжения 20231128, цифровой",,not-in-catalog stock=0
121012404_271787064,"Конструктор Arduino Alashkit, деталей 210 шт",826,
113363268_053412517,Датчик атмосферного давления Arduino BME-280,210,kaspi name is misleading - actually BME280
113592981_913837011,Модуль камеры Arduino OV7670,438,
120591629_842438688,Модуль GSM/GPRS SIM800L,474,
114864200_521834387,Модуль управления Arduino UNO R3,123,
155617325_500472011,"Конструктор Alash electronics Arduino Upgraded Starter Kit with GuideBook, деталей 210 шт",826,duplicate kaspi card for 826
131404698_193236566,Датчик температуры Arduino WATERPROOF ARDUINO DS18B20,191,
188429867,Беспаечная макетная плата (170 контактов) Breadboard 4x6 см,424,
113575988_388232165,Модуль GSM/GPRS/GPS Arduino NRF24L01+PA+LNA,18,kaspi name is wrong - actually NRF24L01+PA+LNA
108288476_707275644,Набор датчиков Arduino 37 IN 1,602,
